dexnum,name,zh_name,alola,galar,hisui,paldea,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group,Unnamed: 34,form_key,form_zh_name,gender_diff,appearance_diff,battle_form,notes
223,Remoraid,鐵炮魚,,,,,2.0,Water,,Jet Pokémon,0.6,12.0,Hustle,Sniper,Moody,35.0,65.0,35.0,65.0,35.0,65.0,300.0,1 Sp. Atk,190,50,60,Medium Fast,Water 1,Water 2,50,50.0,20,Ordinary,,,,,,,
224,Octillery,章魚桶,,,,,2.0,Water,,Jet Pokémon,0.9,28.5,Suction Cups,Sniper,Moody,75.0,105.0,75.0,105.0,75.0,45.0,480.0,"1 Attack, 1 Sp. Atk",75,50,168,Medium Fast,Water 1,Water 2,50,50.0,20,Ordinary,,,,,,,
225,Delibird,信使鳥,,,,,2.0,Ice,Flying,Delivery Pokémon,0.9,16.0,Vital Spirit,Hustle,Insomnia,45.0,55.0,45.0,65.0,45.0,75.0,330.0,1 Speed,45,50,116,Fast,Field,Water 1,50,50.0,20,Ordinary,,,,,,,
226,Mantine,巨翅飛魚,,,,,2.0,Water,Flying,Kite Pokémon,2.1,220.0,Swift Swim,Water Absorb,Water Veil,85.0,40.0,70.0,80.0,140.0,70.0,485.0,2 Sp. Def,25,50,170,Slow,Water 1,,50,50.0,25,Ordinary,,,,,,,
227,Skarmory,盔甲鳥,,,,,2.0,Steel,Flying,Armor Bird Pokémon,1.7,50.5,Keen Eye,Sturdy,Weak Armor,65.0,80.0,140.0,40.0,70.0,70.0,465.0,2 Defense,25,50,163,Slow,Flying,,50,50.0,25,Ordinary,,,,,,,
228,Houndour,戴魯比,,,,,2.0,Dark,Fire,Dark Pokémon,0.6,10.8,Early Bird,Flash Fire,Unnerve,45.0,60.0,30.0,80.0,50.0,65.0,330.0,1 Sp. Atk,120,35,66,Slow,Field,,50,50.0,20,Ordinary,,,,,,,
229,Houndoom,黑魯加,,,,,2.0,Dark,Fire,Dark Pokémon,1.4,35.0,Early Bird,Flash Fire,Unnerve,75.0,90.0,50.0,110.0,80.0,95.0,500.0,2 Sp. Atk,45,35,175,Slow,Field,,50,50.0,20,Ordinary,,,,,,,
230,Kingdra,刺龍王,,,,,2.0,Water,Dragon,Dragon Pokémon,1.8,152.0,Swift Swim,Sniper,Damp,75.0,95.0,95.0,95.0,95.0,85.0,540.0,"1 Attack, 1 Sp. Atk, 1 Sp. Def",45,50,243,Medium Fast,Dragon,Water 1,50,50.0,20,Ordinary,,,,,,,
231,Phanpy,小小象,,,,,2.0,Ground,,Long Nose Pokémon,0.5,33.5,Pickup,Sand Veil,,90.0,60.0,60.0,40.0,40.0,40.0,330.0,1 HP,120,50,66,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
232,Donphan,頓甲,,,,,2.0,Ground,,Armor Pokémon,1.1,120.0,Sturdy,Sand Veil,,90.0,120.0,120.0,60.0,60.0,50.0,500.0,"1 Attack, 1 Defense",60,50,175,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
233,Porygon2,多邊獸Ⅱ,,,,,2.0,Normal,,Virtual Pokémon,0.6,32.5,Trace,Download,Analytic,85.0,80.0,90.0,105.0,95.0,60.0,515.0,2 Sp. Atk,45,50,180,Medium Fast,Mineral,,,,20,Ordinary,,,,,,,
234,Stantler,驚角鹿,,,,,2.0,Normal,,Big Horn Pokémon,1.4,71.2,Intimidate,Frisk,Sap Sipper,73.0,95.0,62.0,85.0,65.0,85.0,465.0,1 Attack,45,50,163,Slow,Field,,50,50.0,20,Ordinary,,,,,,,
235,Smeargle,圖圖犬,,,,,2.0,Normal,,Painter Pokémon,1.2,58.0,Own Tempo,Technician,Moody,55.0,20.0,35.0,20.0,45.0,75.0,250.0,1 Speed,45,50,88,Fast,Field,,50,50.0,20,Ordinary,,,,,,,
236,Tyrogue,無畏小子,,,,,2.0,Fighting,,Scuffle Pokémon,0.7,21.0,Guts,Steadfast,Vital Spirit,35.0,35.0,35.0,35.0,35.0,35.0,210.0,1 Attack,75,50,42,Medium Fast,Undiscovered,,100,0.0,25,Baby Pokemon,,,,,,,
237,Hitmontop,戰舞郎,,,,,2.0,Fighting,,Handstand Pokémon,1.4,48.0,Intimidate,Technician,Steadfast,50.0,95.0,95.0,35.0,110.0,70.0,455.0,2 Sp. Def,45,50,159,Medium Fast,Human-Like,,100,0.0,25,Ordinary,,,,,,,
238,Smoochum,迷唇娃,,,,,2.0,Ice,Psychic,Kiss Pokémon,0.4,6.0,Oblivious,Forewarn,Hydration,45.0,30.0,15.0,85.0,65.0,65.0,305.0,1 Sp. Atk,45,50,61,Medium Fast,Undiscovered,,0,100.0,25,Baby Pokemon,,,,,,,
239,Elekid,電擊怪,,,,,2.0,Electric,,Electric Pokémon,0.6,23.5,Static,Vital Spirit,,45.0,63.0,37.0,65.0,55.0,95.0,360.0,1 Speed,45,50,72,Medium Fast,Undiscovered,,75,25.0,25,Baby Pokemon,,,,,,,
240,Magby,鴨嘴寶寶,,,,,2.0,Fire,,Live Coal Pokémon,0.7,21.4,Flame Body,Vital Spirit,,45.0,75.0,37.0,70.0,55.0,83.0,365.0,1 Speed,45,50,73,Medium Fast,Undiscovered,,75,25.0,25,Baby Pokemon,,,,,,,
241,Miltank,大奶罐,,,,,2.0,Normal,,Milk Cow Pokémon,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,95.0,80.0,105.0,40.0,70.0,100.0,490.0,2 Defense,45,50,172,Slow,Field,,0,100.0,20,Ordinary,,,,,,,
242,Blissey,幸福蛋,,,,,2.0,Normal,,Happiness Pokémon,1.5,46.8,Natural Cure,Serene Grace,Healer,255.0,10.0,10.0,75.0,135.0,55.0,540.0,3 HP,30,140,635,Fast,Fairy,,0,100.0,40,Ordinary,,,,,,,
243,Raikou,雷公,,,,,2.0,Electric,,Thunder Pokémon,1.9,178.0,Pressure,Inner Focus,,90.0,85.0,75.0,115.0,100.0,115.0,580.0,"1 Sp. Atk, 2 Speed",3,35,261,Slow,Undiscovered,,,,80,Legendary,,,,,,,
244,Entei,炎帝,,,,,2.0,Fire,,Volcano Pokémon,2.1,198.0,Pressure,Inner Focus,,115.0,115.0,85.0,90.0,75.0,100.0,580.0,"1 HP, 2 Attack",3,35,261,Slow,Undiscovered,,,,80,Legendary,,,,,,,
245,Suicune,水君,,,,,2.0,Water,,Aurora Pokémon,2,187.0,Pressure,Inner Focus,,100.0,75.0,115.0,90.0,115.0,85.0,580.0,"1 Defense, 2 Sp. Def",3,35,261,Slow,Undiscovered,,,,80,Legendary,,,,,,,
246,Larvitar,幼基拉斯,,,,,2.0,Rock,Ground,Rock Skin Pokémon,0.6,72.0,Guts,Sand Veil,,50.0,64.0,50.0,45.0,50.0,41.0,300.0,1 Attack,45,35,60,Slow,Monster,,50,50.0,40,Ordinary,,,,,,,
247,Pupitar,沙基拉斯,,,,,2.0,Rock,Ground,Hard Shell Pokémon,1.2,152.0,Shed Skin,,,70.0,84.0,70.0,65.0,70.0,51.0,410.0,2 Attack,45,35,144,Slow,Monster,,50,50.0,40,Ordinary,,,,,,,
248,Tyranitar,斑基拉斯,,,,,2.0,Rock,Dark,Armor Pokémon,2,202.0,Sand Stream,Unnerve,,100.0,134.0,110.0,95.0,100.0,61.0,600.0,3 Attack,45,35,300,Slow,Monster,,50,50.0,40,Ordinary,,,,,,,
249,Lugia,洛奇亞,,,,,2.0,Psychic,Flying,Diving Pokémon,5.2,216.0,Pressure,Multiscale,,106.0,90.0,130.0,90.0,154.0,110.0,680.0,3 Sp. Def,3,0,306,Slow,Undiscovered,,,,120,Legendary,,,,,,,
250,Ho-oh,鳳王,,,,,2.0,Fire,Flying,Rainbow Pokémon,3.8,199.0,Pressure,Regenerator,,106.0,130.0,90.0,110.0,154.0,90.0,680.0,3 Sp. Def,3,0,306,Slow,Undiscovered,,,,120,Ordinary,,,,,,,
251,Celebi,時拉比,,,,,2.0,Psychic,Grass,Time Travel Pokémon,0.6,5.0,Natural Cure,,,100.0,100.0,100.0,100.0,100.0,100.0,600.0,3 HP,45,100,270,Medium Slow,Undiscovered,,,,120,Mythical,,,,,,,
252,Treecko,木守宮,,,,,3.0,Grass,,Wood Gecko Pokémon,0.5,5.0,Overgrow,Unburden,,40.0,45.0,35.0,65.0,55.0,70.0,310.0,1 Speed,45,50,62,Medium Slow,Dragon,Monster,87.5,12.5,20,Ordinary,,,,,,,
253,Grovyle,森林蜥蜴,,,,,3.0,Grass,,Wood Gecko Pokémon,0.9,21.6,Overgrow,Unburden,,50.0,65.0,45.0,85.0,65.0,95.0,405.0,2 Speed,45,50,142,Medium Slow,Dragon,Monster,87.5,12.5,20,Ordinary,,,,,,,
254,Sceptile,蜥蜴王,,,,,3.0,Grass,,Forest Pokémon,1.7,52.2,Overgrow,Unburden,,70.0,85.0,65.0,105.0,85.0,120.0,530.0,3 Speed,45,50,239,Medium Slow,Dragon,Monster,87.5,12.5,20,Ordinary,,,,,,,
255,Torchic,火稚雞,,,,,3.0,Fire,,Chick Pokémon,0.4,2.5,Blaze,Speed Boost,,45.0,60.0,40.0,70.0,50.0,45.0,310.0,1 Sp. Atk,45,50,62,Medium Slow,Field,,87.5,12.5,20,Ordinary,,,,,,,
256,Combusken,力壯雞,,,,,3.0,Fire,Fighting,Young Fowl Pokémon,0.9,19.5,Blaze,Speed Boost,,60.0,85.0,60.0,85.0,60.0,55.0,405.0,"1 Attack, 1 Sp. Atk",45,50,142,Medium Slow,Field,,87.5,12.5,20,Ordinary,,,,,,,
257,Blaziken,火焰雞,,,,,3.0,Fire,Fighting,Blaze Pokémon,1.9,52.0,Blaze,Speed Boost,,80.0,120.0,70.0,110.0,70.0,80.0,530.0,3 Attack,45,50,239,Medium Slow,Field,,87.5,12.5,20,Ordinary,,,,,,,
258,Mudkip,水躍魚,,,,,3.0,Water,,Mud Fish Pokémon,0.4,7.6,Torrent,Damp,,50.0,70.0,50.0,50.0,50.0,40.0,310.0,1 Attack,45,50,62,Medium Slow,Monster,Water 1,87.5,12.5,20,Ordinary,,,,,,,
259,Marshtomp,沼躍魚,,,,,3.0,Water,Ground,Mud Fish Pokémon,0.7,28.0,Torrent,Damp,,70.0,85.0,70.0,60.0,70.0,50.0,405.0,2 Attack,45,50,142,Medium Slow,Monster,Water 1,87.5,12.5,20,Ordinary,,,,,,,
260,Swampert,巨沼怪,,,,,3.0,Water,Ground,Mud Fish Pokémon,1.5,81.9,Torrent,Damp,,100.0,110.0,90.0,85.0,90.0,60.0,535.0,3 Attack,45,50,241,Medium Slow,Monster,Water 1,87.5,12.5,20,Ordinary,,,,,,,
261,Poochyena,土狼犬,,,,,3.0,Dark,,Bite Pokémon,0.5,13.6,Run Away,Quick Feet,Rattled,35.0,55.0,35.0,30.0,30.0,35.0,220.0,1 Attack,255,50,56,Medium Fast,Field,,50,50.0,15,Ordinary,,,,,,,
262,Mightyena,大狼犬,,,,,3.0,Dark,,Bite Pokémon,1,37.0,Intimidate,Quick Feet,Moxie,70.0,90.0,70.0,60.0,60.0,70.0,420.0,2 Attack,127,50,147,Medium Fast,Field,,50,50.0,15,Ordinary,,,,,,,
263,Zigzagoon,蛇紋熊,,"蛇紋熊
伽勒爾的樣子",,,3.0,Normal,,TinyRaccoon Pokémon,0.4,17.5,Pickup,Gluttony,Quick Feet,38.0,30.0,41.0,30.0,41.0,60.0,240.0,1 Speed,255,50,56,Medium Fast,Field,,50,50.0,15,Ordinary,,,,,,,
264,Linoone,直衝熊,,"直衝熊
伽勒爾的樣子",,,3.0,Normal,,Rushing Pokémon,0.5,32.5,Pickup,Gluttony,Quick Feet,78.0,70.0,61.0,50.0,61.0,100.0,420.0,2 Speed,90,50,147,Medium Fast,Field,,50,50.0,15,Ordinary,,,,,,,
265,Wurmple,刺尾蟲,,,,,3.0,Bug,,Worm Pokémon,0.3,3.6,Shield Dust,Run Away,,45.0,45.0,35.0,20.0,30.0,20.0,195.0,1 HP,255,50,56,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
266,Silcoon,甲殼繭,,,,,3.0,Bug,,Cocoon Pokémon,0.6,10.0,Shed Skin,,,50.0,35.0,55.0,25.0,25.0,15.0,205.0,2 Defense,120,50,72,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
267,Beautifly,狩獵鳳蝶,,,,,3.0,Bug,Flying,Butterfly Pokémon,1,28.4,Swarm,Rivalry,,60.0,70.0,50.0,100.0,50.0,65.0,395.0,3 Sp. Atk,45,50,178,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
268,Cascoon,盾甲繭,,,,,3.0,Bug,,Cocoon Pokémon,0.7,11.5,Shed Skin,,,50.0,35.0,55.0,25.0,25.0,15.0,205.0,2 Defense,120,50,72,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
269,Dustox,毒粉蛾,,,,,3.0,Bug,Poison,Poison Moth Pokémon,1.2,31.6,Shield Dust,Compound Eyes,,60.0,50.0,70.0,50.0,90.0,65.0,385.0,3 Sp. Def,45,50,173,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
270,Lotad,蓮葉童子,,,,,3.0,Water,Grass,Water Weed Pokémon,0.5,2.6,Swift Swim,Rain Dish,Own Tempo,40.0,30.0,30.0,40.0,50.0,30.0,220.0,1 Sp. Def,255,50,44,Medium Slow,Grass,Water 1,50,50.0,15,Ordinary,,,,,,,
271,Lombre,蓮帽小童,,,,,3.0,Water,Grass,Jolly Pokémon,1.2,32.5,Swift Swim,Rain Dish,Own Tempo,60.0,50.0,50.0,60.0,70.0,50.0,340.0,2 Sp. Def,120,50,119,Medium Slow,Grass,Water 1,50,50.0,15,Ordinary,,,,,,,
272,Ludicolo,樂天河童,,,,,3.0,Water,Grass,Carefree Pokémon,1.5,55.0,Swift Swim,Rain Dish,Own Tempo,80.0,70.0,70.0,90.0,100.0,70.0,480.0,3 Sp. Def,45,50,216,Medium Slow,Grass,Water 1,50,50.0,15,Ordinary,,,,,,,
273,Seedot,橡實果,,,,,3.0,Grass,,Acorn Pokémon,0.5,4.0,Chlorophyll,Early Bird,Pickpocket,40.0,40.0,50.0,30.0,30.0,30.0,220.0,1 Defense,255,50,44,Medium Slow,Field,Grass,50,50.0,15,Ordinary,,,,,,,
274,Nuzleaf,長鼻葉,,,,,3.0,Grass,Dark,Wily Pokémon,1,28.0,Chlorophyll,Early Bird,Pickpocket,70.0,70.0,40.0,60.0,40.0,60.0,340.0,2 Attack,120,50,119,Medium Slow,Field,Grass,50,50.0,15,Ordinary,,,,,,,
275,Shiftry,狡猾天狗,,,,,3.0,Grass,Dark,Wicked Pokémon,1.3,59.6,Chlorophyll,Early Bird,Pickpocket,90.0,100.0,60.0,90.0,60.0,80.0,480.0,3 Attack,45,50,216,Medium Slow,Field,Grass,50,50.0,15,Ordinary,,,,,,,
276,Taillow,傲骨燕,,,,,3.0,Normal,Flying,TinySwallow Pokémon,0.3,2.3,Guts,Scrappy,,40.0,55.0,30.0,30.0,30.0,85.0,270.0,1 Speed,200,50,54,Medium Slow,Flying,,50,50.0,15,Ordinary,,,,,,,
277,Swellow,大王燕,,,,,3.0,Normal,Flying,Swallow Pokémon,0.7,19.8,Guts,Scrappy,,60.0,85.0,60.0,75.0,50.0,125.0,455.0,2 Speed,45,50,159,Medium Slow,Flying,,50,50.0,15,Ordinary,,,,,,,
278,Wingull,長翅鷗,,,,,3.0,Water,Flying,Seagull Pokémon,0.6,9.5,Keen Eye,Hydration,Rain Dish,40.0,30.0,30.0,55.0,30.0,85.0,270.0,1 Speed,190,50,54,Medium Fast,Flying,Water 1,50,50.0,20,Ordinary,,,,,,,
279,Pelipper,大嘴鷗,,,,,3.0,Water,Flying,Water Bird Pokémon,1.2,28.0,Keen Eye,Drizzle,Rain Dish,60.0,50.0,100.0,95.0,70.0,65.0,440.0,2 Defense,45,50,154,Medium Fast,Flying,Water 1,50,50.0,20,Ordinary,,,,,,,
280,Ralts,拉魯拉斯,,,,,3.0,Psychic,Fairy,Feeling Pokémon,0.4,6.6,Synchronize,Trace,Telepathy,28.0,25.0,25.0,45.0,35.0,40.0,198.0,1 Sp. Atk,235,35,40,Slow,Amorphous,Human-Like,50,50.0,20,Ordinary,,,,,,,
281,Kirlia,奇魯莉安,,,,,3.0,Psychic,Fairy,Emotion Pokémon,0.8,20.2,Synchronize,Trace,Telepathy,38.0,35.0,35.0,65.0,55.0,50.0,278.0,2 Sp. Atk,120,35,97,Slow,Amorphous,Human-Like,50,50.0,20,Ordinary,,,,,,,
282,Gardevoir,沙奈朵,,,,,3.0,Psychic,Fairy,Embrace Pokémon,1.6,48.4,Synchronize,Trace,Telepathy,68.0,65.0,65.0,125.0,115.0,80.0,518.0,3 Sp. Atk,45,35,259,Slow,Amorphous,Human-Like,50,50.0,20,Ordinary,,,,,,,
283,Surskit,溜溜糖球,,,,,3.0,Bug,Water,Pond Skater Pokémon,0.5,1.7,Swift Swim,Rain Dish,,40.0,30.0,32.0,50.0,52.0,65.0,269.0,1 Speed,200,50,54,Medium Fast,Bug,Water 1,50,50.0,15,Ordinary,,,,,,,
284,Masquerain,雨翅蛾,,,,,3.0,Bug,Flying,Eyeball Pokémon,0.8,3.6,Intimidate,Unnerve,,70.0,60.0,62.0,100.0,82.0,80.0,454.0,"1 Sp. Atk, 1 Sp. Def",75,50,159,Medium Fast,Bug,Water 1,50,50.0,15,Ordinary,,,,,,,
285,Shroomish,蘑蘑菇,,,,,3.0,Grass,,Mushroom Pokémon,0.4,4.5,Effect Spore,Poison Heal,Quick Feet,60.0,40.0,60.0,40.0,60.0,35.0,295.0,1 HP,255,50,59,Fluctuating,Fairy,Grass,50,50.0,15,Ordinary,,,,,,,
286,Breloom,斗笠菇,,,,,3.0,Grass,Fighting,Mushroom Pokémon,1.2,39.2,Effect Spore,Poison Heal,Technician,60.0,130.0,80.0,60.0,60.0,70.0,460.0,2 Attack,90,50,161,Fluctuating,Fairy,Grass,50,50.0,15,Ordinary,,,,,,,
287,Slakoth,懶人獺,,,,,3.0,Normal,,Slacker Pokémon,0.8,24.0,Truant,,,60.0,60.0,60.0,35.0,35.0,30.0,280.0,1 HP,255,50,56,Slow,Field,,50,50.0,15,Ordinary,,,,,,,
288,Vigoroth,過動猿,,,,,3.0,Normal,,Wild Monkey Pokémon,1.4,46.5,Vital Spirit,,,80.0,80.0,80.0,55.0,55.0,90.0,440.0,2 Speed,120,50,154,Slow,Field,,50,50.0,15,Ordinary,,,,,,,
289,Slaking,請假王,,,,,3.0,Normal,,Lazy Pokémon,2,130.5,Truant,,,150.0,160.0,100.0,95.0,65.0,100.0,670.0,3 HP,45,50,285,Slow,Field,,50,50.0,15,Ordinary,,,,,,,
290,Nincada,土居忍士,,,,,3.0,Bug,Ground,Trainee Pokémon,0.5,5.5,Compound Eyes,Run Away,,31.0,45.0,90.0,30.0,30.0,40.0,266.0,1 Defense,255,50,53,Erratic,Bug,,50,50.0,15,Ordinary,,,,,,,
291,Ninjask,鐵面忍者,,,,,3.0,Bug,Flying,Ninja Pokémon,0.8,12.0,Speed Boost,Infiltrator,,61.0,90.0,45.0,50.0,50.0,160.0,456.0,2 Speed,120,50,160,Erratic,Bug,,50,50.0,15,Ordinary,,,,,,,
292,Shedinja,脫殼忍者,,,,,3.0,Bug,Ghost,Shed Pokémon,0.8,1.2,Wonder Guard,,,1.0,90.0,45.0,30.0,30.0,40.0,236.0,2 HP,45,50,83,Erratic,Mineral,,,,15,Ordinary,,,,,,,
293,Whismur,咕妞妞,,,,,3.0,Normal,,Whisper Pokémon,0.6,16.3,Soundproof,Rattled,,64.0,51.0,23.0,51.0,23.0,28.0,240.0,1 HP,190,50,48,Medium Slow,Field,Monster,50,50.0,20,Ordinary,,,,,,,
294,Loudred,吼爆彈,,,,,3.0,Normal,,Big Voice Pokémon,1,40.5,Soundproof,Scrappy,,84.0,71.0,43.0,71.0,43.0,48.0,360.0,2 HP,120,50,126,Medium Slow,Field,Monster,50,50.0,20,Ordinary,,,,,,,
295,Exploud,爆音怪,,,,,3.0,Normal,,Loud Noise Pokémon,1.5,84.0,Soundproof,Scrappy,,104.0,91.0,63.0,91.0,73.0,68.0,490.0,3 HP,45,50,221,Medium Slow,Field,Monster,50,50.0,20,Ordinary,,,,,,,
296,Makuhita,幕下力士,,,,,3.0,Fighting,,Guts Pokémon,1,86.4,Thick Fat,Guts,Sheer Force,72.0,60.0,30.0,20.0,30.0,25.0,237.0,1 HP,180,50,47,Fluctuating,Human-Like,,75,25.0,20,Ordinary,,,,,,,
297,Hariyama,鐵掌力士,,,,,3.0,Fighting,,Arm Thrust Pokémon,2.3,253.8,Thick Fat,Guts,Sheer Force,144.0,120.0,60.0,40.0,60.0,50.0,474.0,2 HP,200,50,166,Fluctuating,Human-Like,,75,25.0,20,Ordinary,,,,,,,
298,Azurill,露力麗,,,,,3.0,Normal,Fairy,Polka Dot Pokémon,0.2,2.0,Thick Fat,Huge Power,Sap Sipper,50.0,20.0,40.0,20.0,40.0,20.0,190.0,1 HP,150,50,38,Fast,Undiscovered,,25,75.0,10,Baby Pokemon,,,,,,,
299,Nosepass,朝北鼻,,,,,3.0,Rock,,Compass Pokémon,1,97.0,Sturdy,Magnet Pull,Sand Force,30.0,45.0,135.0,45.0,90.0,30.0,375.0,1 Defense,255,50,75,Medium Fast,Mineral,,50,50.0,20,Ordinary,,,,,,,
300,Skitty,向尾喵,,,,,3.0,Normal,,Kitten Pokémon,0.6,11.0,Cute Charm,Normalize,Wonder Skin,50.0,45.0,45.0,35.0,35.0,50.0,260.0,1 Speed,255,50,52,Fast,Fairy,Field,25,75.0,15,Ordinary,,,,,,,
301,Delcatty,優雅貓,,,,,3.0,Normal,,Prim Pokémon,1.1,32.6,Cute Charm,Normalize,Wonder Skin,70.0,65.0,65.0,55.0,55.0,90.0,400.0,"1 HP, 1 Speed",60,50,140,Fast,Fairy,Field,25,75.0,15,Ordinary,,,,,,,
302,Sableye,勾魂眼,,,,,3.0,Dark,Ghost,Darkness Pokémon,0.5,11.0,Keen Eye,Stall,Prankster,50.0,75.0,75.0,65.0,65.0,50.0,380.0,"1 Attack, 1 Defense",45,35,133,Medium Slow,Human-Like,,50,50.0,25,Ordinary,,,,,,,
303,Mawile,大嘴娃,,,,,3.0,Steel,Fairy,Deceiver Pokémon,0.6,11.5,Hyper Cutter,Intimidate,Sheer Force,50.0,85.0,85.0,55.0,55.0,50.0,380.0,"1 Attack, 1 Defense",45,50,133,Fast,Fairy,Field,50,50.0,20,Ordinary,,,,,,,
304,Aron,可可多拉,,,,,3.0,Steel,Rock,Iron Armor Pokémon,0.4,60.0,Sturdy,Rock Head,Heavy Metal,50.0,70.0,100.0,40.0,40.0,30.0,330.0,1 Defense,180,35,66,Slow,Monster,,50,50.0,35,Ordinary,,,,,,,
305,Lairon,可多拉,,,,,3.0,Steel,Rock,Iron Armor Pokémon,0.9,120.0,Sturdy,Rock Head,Heavy Metal,60.0,90.0,140.0,50.0,50.0,40.0,430.0,2 Defense,90,35,151,Slow,Monster,,50,50.0,35,Ordinary,,,,,,,
306,Aggron,波士可多拉,,,,,3.0,Steel,Rock,Iron Armor Pokémon,2.1,360.0,Sturdy,Rock Head,Heavy Metal,70.0,110.0,180.0,60.0,60.0,50.0,530.0,3 Defense,45,35,239,Slow,Monster,,50,50.0,35,Ordinary,,,,,,,
307,Meditite,瑪沙那,,,,,3.0,Fighting,Psychic,Meditate Pokémon,0.6,11.2,Pure Power,Telepathy,,30.0,40.0,55.0,40.0,55.0,60.0,280.0,1 Speed,180,50,56,Medium Fast,Human-Like,,50,50.0,20,Ordinary,,,,,,,
308,Medicham,恰雷姆,,,,,3.0,Fighting,Psychic,Meditate Pokémon,1.3,31.5,Pure Power,Telepathy,,60.0,60.0,75.0,60.0,75.0,80.0,410.0,2 Speed,90,50,144,Medium Fast,Human-Like,,50,50.0,20,Ordinary,,,,,,,
309,Electrike,落雷獸,,,,,3.0,Electric,,Lightning Pokémon,0.6,15.2,Static,Lightning Rod,Minus,40.0,45.0,40.0,65.0,40.0,65.0,295.0,1 Speed,120,50,59,Slow,Field,,50,50.0,20,Ordinary,,,,,,,
310,Manectric,雷電獸,,,,,3.0,Electric,,Discharge Pokémon,1.5,40.2,Static,Lightning Rod,Minus,70.0,75.0,60.0,105.0,60.0,105.0,475.0,2 Speed,45,50,166,Slow,Field,,50,50.0,20,Ordinary,,,,,,,
311,Plusle,正電拍拍,,,,,3.0,Electric,,Cheering Pokémon,0.4,4.2,Plus,Lightning Rod,,60.0,50.0,40.0,85.0,75.0,95.0,405.0,1 Speed,200,50,142,Medium Fast,Fairy,,50,50.0,20,Ordinary,,,,,,,
312,Minun,負電拍拍,,,,,3.0,Electric,,Cheering Pokémon,0.4,4.2,Minus,Volt Absorb,,60.0,40.0,50.0,75.0,85.0,95.0,405.0,1 Speed,200,50,142,Medium Fast,Fairy,,50,50.0,20,Ordinary,,,,,,,
313,Volbeat,電螢蟲,,,,,3.0,Bug,,Firefly Pokémon,0.7,17.7,Illuminate,Swarm,Prankster,65.0,73.0,75.0,47.0,85.0,85.0,430.0,1 Speed,150,50,151,Erratic,Bug,Human-Like,100,0.0,15,Ordinary,,,,,,,
314,Illumise,甜甜螢,,,,,3.0,Bug,,Firefly Pokémon,0.6,17.7,Oblivious,Tinted Lens,Prankster,65.0,47.0,75.0,73.0,85.0,85.0,430.0,1 Speed,150,50,151,Fluctuating,Bug,Human-Like,0,100.0,15,Ordinary,,,,,,,
315,Roselia,毒薔薇,,,,,3.0,Grass,Poison,Thorn Pokémon,0.3,2.0,Natural Cure,Poison Point,Leaf Guard,50.0,60.0,45.0,100.0,80.0,65.0,400.0,2 Sp. Atk,150,50,140,Medium Slow,Fairy,Grass,50,50.0,20,Ordinary,,,,,,,
316,Gulpin,溶食獸,,,,,3.0,Poison,,Stomach Pokémon,0.4,10.3,Liquid Ooze,Sticky Hold,Gluttony,70.0,43.0,53.0,43.0,53.0,40.0,302.0,1 HP,225,50,60,Fluctuating,Amorphous,,50,50.0,20,Ordinary,,,,,,,
317,Swalot,吞食獸,,,,,3.0,Poison,,Poison Bag Pokémon,1.7,80.0,Liquid Ooze,Sticky Hold,Gluttony,100.0,73.0,83.0,73.0,83.0,55.0,467.0,2 HP,75,50,163,Fluctuating,Amorphous,,50,50.0,20,Ordinary,,,,,,,
318,Carvanha,利牙魚,,,,,3.0,Water,Dark,Savage Pokémon,0.8,20.8,Rough Skin,Speed Boost,,45.0,90.0,20.0,65.0,20.0,65.0,305.0,1 Attack,225,35,61,Slow,Water 2,,50,50.0,20,Ordinary,,,,,,,
319,Sharpedo,巨牙鯊,,,,,3.0,Water,Dark,Brutal Pokémon,1.8,88.8,Rough Skin,Speed Boost,,70.0,120.0,40.0,95.0,40.0,95.0,460.0,2 Attack,60,35,161,Slow,Water 2,,50,50.0,20,Ordinary,,,,,,,
320,Wailmer,吼吼鯨,,,,,3.0,Water,,Ball Whale Pokémon,2,130.0,Water Veil,Oblivious,Pressure,130.0,70.0,35.0,70.0,35.0,60.0,400.0,1 HP,125,50,80,Fluctuating,Field,Water 2,50,50.0,40,Ordinary,,,,,,,
321,Wailord,吼鯨王,,,,,3.0,Water,,Float Whale Pokémon,14.5,398.0,Water Veil,Oblivious,Pressure,170.0,90.0,45.0,90.0,45.0,60.0,500.0,2 HP,60,50,175,Fluctuating,Field,Water 2,50,50.0,40,Ordinary,,,,,,,
